budget;id;original_language;popularity;release_date;revenue;runtime;spoken_languages;tagline;title_x;vote_average;vote_count;movie_id;title_y;;;;;;;;
250000000;271110;en;198.372395;2016-04-27;1153304495;147.0;['Română', 'English', 'Deutsch', 'Pусский'];Divided We Fall;Captain America: Civil War;7.1;7241;271110;Captain America: Civil War;;;;;;;;
209000000;44833;en;64.928382;2012-04-11;303025485;131.0;['English', 'ภาษาไทย'];The Battle for Earth Begins at Sea;Battleship;5.5;2114;44833;Battleship;;;;;;;;
150000000;135397;en;418.708552;2015-06-09;1513528810;124.0;['English'];The park is open.;Jurassic World;6.5;8662;135397;Jurassic World;;;;;;;;
200000000;37724;en;93.004993;2012-10-25;1108561013;143.0;['English'];Think on your sins.;Skyfall;6.9;7604;37724;Skyfall;;;;;;;;
200000000;558;en;35.149586;2004-06-25;783766341;127.0;['English', 'Pусский', '普通话'];There's a hero in all of us.;Spider-Man 2;6.7;4321;558;Spider-Man 2;;;;;;;;
200000000;68721;en;77.68208;2013-04-18;1215439994;130.0;['English'];Unleash the power behind the armor.;Iron Man 3;6.8;8806;68721;Iron Man 3;;;;;;;;
200000000;12155;en;78.530105;2010-03-03;1025491110;108.0;['English'];You're invited to a very important date.;Alice in Wonderland;6.4;4645;12155;Alice in Wonderland;;;;;;;;
210000000;36668;en;3.857526;2006-05-24;459359555;104.0;['English'];Take a Stand;X-Men: The Last Stand;6.3;3525;36668;X-Men: The Last Stand;;;;;;;;
200000000;62211;en;89.186492;2013-06-20;743559607;104.0;['English'];School never looked this scary.;Monsters University;7.0;3528;62211;Monsters University;;;;;;;;
150000000;8373;en;21.939663;2009-06-19;836297228;150.0;['English', 'Español'];Revenge is coming.;Transformers: Revenge of the Fallen;6.0;3138;8373;Transformers: Revenge of the Fallen;;;;;;;;
210000000;91314;en;116.840296;2014-06-25;1091405097;165.0;['English'];This is not war. It's extinction.;Transformers: Age of Extinction;5.8;3095;91314;Transformers: Age of Extinction;;;;;;;;
200000000;68728;en;46.985445;2013-03-07;491868548;130.0;['English'];In Oz, nothing is what it seems;Oz: The Great and Powerful;5.7;3530;68728;Oz: The Great and Powerful;;;;;;;;
200000000;102382;en;89.270217;2014-04-16;705717432;142.0;['English'];No more secrets.;The Amazing Spider-Man 2;6.5;4179;102382;The Amazing Spider-Man 2;;;;;;;;
170000000;20526;en;73.79505;2010-12-10;400062763;125.0;['English'];The Game Has Changed.;TRON: Legacy;6.3;2841;20526;TRON: Legacy;;;;;;;;
200000000;49013;en;49.98659;2011-06-11;559852396;106.0;['English', '日本語', 'Italiano', 'Français'];Ka-ciao!;Cars 2;5.8;2033;49013;Cars 2;;;;;;;;
200000000;44912;en;51.872839;2011-06-16;219851172;114.0;['English'];In our darkest hour, there will be light.;Green Lantern;5.1;2487;44912;Green Lantern;;;;;;;;
200000000;10193;en;59.995418;2010-06-16;1066969703;103.0;['English', 'Español'];No toy gets left behind.;Toy Story 3;7.6;4597;10193;Toy Story 3;;;;;;;;
200000000;534;en;71.862892;2009-05-20;371353001;115.0;['English', 'Italiano'];The End Begins.;Terminator Salvation;5.9;2463;534;Terminator Salvation;;;;;;;;
190000000;168259;en;102.322217;2015-04-01;1506249360;137.0;['English'];Vengeance Hits Home;Furious 7;7.3;4176;168259;Furious 7;;;;;;;;
200000000;72190;en;81.834855;2013-06-20;531865000;116.0;['English'];Remember Philly!;World War Z;6.7;5560;72190;World War Z;;;;;;;;
250000000;127585;en;118.078691;2014-05-15;747862775;131.0;['English'];To save the future, they must alter the past;X-Men: Days of Future Past;7.5;6032;127585;X-Men: Days of Future Past;;;;;;;;
190000000;54138;en;78.291018;2013-05-05;467365246;132.0;['English'];Earth Will Fall;Star Trek Into Darkness;7.4;4418;54138;Star Trek Into Darkness;;;;;;;;
195000000;81005;en;43.349855;2013-02-27;197687603;114.0;['English'];Prepare for a giant adventure;Jack the Giant Slayer;5.5;2598;81005;Jack the Giant Slayer;;;;;;;;
105000000;64682;en;61.196071;2013-05-10;351040419;143.0;['English'];Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.;The Great Gatsby;7.3;3769;64682;The Great Gatsby;;;;;;;;
150000000;9543;en;62.169881;2010-05-19;335154643;116.0;['English'];Defy the Future;Prince of Persia: The Sands of Time;6.2;2317;9543;Prince of Persia: The Sands of Time;;;;;;;;
180000000;68726;en;56.523205;2013-07-11;407602906;131.0;['English'];To Fight Monsters, We Created Monsters;Pacific Rim;6.7;4794;68726;Pacific Rim;;;;;;;;
195000000;38356;en;28.529607;2011-06-28;1123746996;154.0;['English'];The invasion we always feared. An enemy we never expected.;Transformers: Dark of the Moon;6.1;3299;38356;Transformers: Dark of the Moon;;;;;;;;
185000000;217;en;75.674458;2008-05-21;786636033;122.0;['English', 'Deutsch', 'Pусский'];The adventure continues . . .;Indiana Jones and the Kingdom of the Crystal Skull;5.7;2495;217;Indiana Jones and the Kingdom of the Crystal Skull;;;;;;;;
175000000;105864;en;51.692953;2015-11-14;331926147;93.0;['English'];Little Arms With Big Attitude;The Good Dinosaur;6.6;1736;105864;The Good Dinosaur;;;;;;;;
185000000;62177;en;125.114374;2012-06-21;538983207;93.0;['English'];Change your fate.;Brave;6.7;4641;62177;Brave;;;;;;;;
185000000;188927;en;65.352913;2016-07-07;343471816;122.0;['English'];;Star Trek Beyond;6.6;2568;188927;Star Trek Beyond;;;;;;;;
180000000;10681;en;66.390712;2008-06-22;521311860;98.0;['English'];An adventure beyond the ordinar-E.;WALL·E;7.8;6296;10681;WALL·E;;;;;;;;
140000000;5174;en;22.57178;2007-08-08;258022233;91.0;['Latin', 'English', 'Français', '日本語', '普通话'];The Rush Is On!;Rush Hour 3;6.1;783;5174;Rush Hour 3;;;;;;;;
200000000;14161;en;45.274225;2009-10-10;769653595;158.0;['English', 'Français', 'हिन्दी', 'Italiano', 'Latin', '普通话', 'Português', 'Pусский', ''];We Were Warned.;2012;5.6;4903;14161;2012;;;;;;;;
200000000;17979;en;39.744242;2009-11-04;325233863;96.0;['English'];Season's Greedings;A Christmas Carol;6.6;1095;17979;A Christmas Carol;;;;;;;;
176000003;76757;en;85.36908;2015-02-04;183987723;124.0;['English'];Expand your universe.;Jupiter Ascending;5.2;2768;76757;Jupiter Ascending;;;;;;;;
180000000;258489;en;42.741719;2016-06-29;356743061;109.0;['English'];Human. Nature.;The Legend of Tarzan;5.5;2430;258489;The Legend of Tarzan;;;;;;;;
180000000;411;en;67.391328;2005-12-07;748806957;143.0;['English', 'Deutsch'];Evil Has Reigned For 100 Years...;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;6.7;2629;411;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;;;;;;;;
178000000;246655;en;139.272042;2016-05-18;543934787;144.0;['English'];Only the strong will survive;X-Men: Apocalypse;6.4;4721;246655;X-Men: Apocalypse;;;;;;;;
185000000;155;en;187.322927;2008-07-16;1004558444;152.0;['English', '普通话'];Why So Serious?;The Dark Knight;8.2;12002;155;The Dark Knight;;;;;;;;
175000000;14160;en;92.201962;2009-05-13;735099082;96.0;['English'];;Up;7.7;6870;14160;Up;;;;;;;;
175000000;15512;en;36.167578;2009-03-19;381509870;94.0;['English'];When aliens attack, monsters fight back.;Monsters vs Aliens;6.0;1423;15512;Monsters vs Aliens;;;;;;;;
140000000;1726;en;120.725053;2008-04-30;585174222;126.0;['English', 'فارسی', 'اردو', 'العربية'];Heroes aren't born. They're built.;Iron Man;7.4;8776;1726;Iron Man;;;;;;;;
170000000;44826;en;32.319043;2011-11-22;185770160;126.0;['English'];One of the most legendary directors of our time takes you on an extraordinary adventure.;Hugo;7.0;2141;44826;Hugo;;;;;;;;
170000000;8487;en;40.748915;1999-06-29;222104681;106.0;['English'];It's a whole new west.;Wild Wild West;5.1;1020;8487;Wild Wild West;;;;;;;;
145000000;1735;en;60.034162;2008-07-01;401128639;112.0;['English', '普通话', ''];A New Evil Awakens.;The Mummy: Tomb of the Dragon Emperor;5.2;1387;1735;The Mummy: Tomb of the Dragon Emperor;;;;;;;;
175000000;297761;en;90.23792;2016-08-02;745000000;123.0;['English'];Worst Heroes Ever;Suicide Squad;5.9;7458;297761;Suicide Squad;;;;;;;;
175000000;2698;en;27.082182;2007-06-09;173000000;96.0;['English'];A comedy of biblical proportions;Evan Almighty;5.3;1151;2698;Evan Almighty;;;;;;;;
178000000;137113;en;79.456485;2014-05-27;370541256;113.0;['English'];Live, Die, Repeat;Edge of Tomorrow;7.6;4858;137113;Edge of Tomorrow;;;;;;;;
175000000;9804;en;44.640292;1995-07-28;264218220;135.0;['English', 'Deutsch', 'Español'];Beyond the horizon lies the secret to a new beginning.;Waterworld;5.9;992;9804;Waterworld;;;;;;;;
175000000;14869;en;32.852443;2009-08-04;302469017;118.0;['English', 'Français', ''];When all else fails, they don't.;G.I. Joe: The Rise of Cobra;5.6;1962;14869;G.I. Joe: The Rise of Cobra;;;;;;;;
175000000;150540;en;128.655964;2015-06-09;857611174;94.0;['English'];Meet the little voices inside your head.;Inside Out;8.0;6560;150540;Inside Out;;;;;;;;
175000000;278927;en;94.199316;2016-04-07;966550600;106.0;['English'];;The Jungle Book;6.7;2892;278927;The Jungle Book;;;;;;;;
200000000;10138;en;77.300194;2010-04-28;623933331;124.0;['English', 'Pусский', 'Français'];It's not the armor that makes the hero, but the man inside.;Iron Man 2;6.6;6849;10138;Iron Man 2;;;;;;;;
170000000;58595;en;77.178973;2012-05-30;396600000;127.0;['English'];The Fairytale is Over;Snow White and the Huntsman;5.8;3118;58595;Snow White and the Huntsman;;;;;;;;
180000000;102651;en;110.620647;2014-05-28;758539785;97.0;['English'];Don't believe the fairy tale.;Maleficent;7.0;4496;102651;Maleficent;;;;;;;;
170000000;119450;en;243.791743;2014-06-26;710644566;130.0;['English'];One last chance for peace.;Dawn of the Planet of the Apes;7.3;4410;119450;Dawn of the Planet of the Apes;;;;;;;;
27000000;79698;en;2.418535;2015-02-13;0;109.0;['English'];Love is longer than life.;The Lovers;4.8;34;79698;The Lovers;;;;;;;;
175000000;64686;en;41.796339;2013-12-06;150962475;119.0;['English', '日本語'];For courage. For loyalty. For honor.;47 Ronin;5.9;1326;64686;47 Ronin;;;;;;;;
170000000;100402;en;72.225265;2014-03-20;714766572;136.0;['English'];In heroes we trust.;Captain America: The Winter Soldier;7.6;5764;100402;Captain America: The Winter Soldier;;;;;;;;
165000000;10192;en;44.041186;2010-05-16;752600867;93.0;['English'];It ain't Ogre... Til it's Ogre;Shrek Forever After;6.0;1959;10192;Shrek Forever After;;;;;;;;
190000000;158852;en;130.311355;2015-05-19;209154322;130.0;['English'];Imagine a world where nothing is impossible.;Tomorrowland;6.2;2846;158852;Tomorrowland;;;;;;;;
165000000;177572;en;203.73459;2014-10-24;652105443;102.0;['English'];From the creators of Wreck-it Ralph and Frozen;Big Hero 6;7.8;6135;177572;Big Hero 6;;;;;;;;
165000000;82690;en;62.341073;2012-11-01;471222889;108.0;['English'];The story of a regular guy just looking for a little wreck-ognition.;Wreck-It Ralph;7.1;4570;82690;Wreck-It Ralph;;;;;;;;
165000000;5255;en;47.323228;2004-11-10;305875730;100.0;['English'];This holiday season... believe.;The Polar Express;6.4;1474;5255;The Polar Express;;;;;;;;
165000000;47933;en;48.775723;2016-06-22;389681935;120.0;['English'];We had twenty years to prepare. So did they.;Independence Day: Resurgence;4.9;2491;47933;Independence Day: Resurgence;;;;;;;;
165000000;10191;en;67.263269;2010-03-05;494878759;98.0;['English'];One adventure will change two worlds;How to Train Your Dragon;7.5;4227;10191;How to Train Your Dragon;;;;;;;;
200000000;296;en;69.405188;2003-07-02;435000000;109.0;['English'];The Machines Will Rise.;Terminator 3: Rise of the Machines;5.9;2143;296;Terminator 3: Rise of the Machines;;;;;;;;
170000000;118340;en;481.098624;2014-07-30;773328629;121.0;['English'];All heroes start somewhere.;Guardians of the Galaxy;7.9;9742;118340;Guardians of the Galaxy;;;;;;;;
165000000;157336;en;724.247784;2014-11-05;675120017;169.0;['English'];Mankind was born on Earth. It was never meant to die here.;Interstellar;8.1;10867;157336;Interstellar;;;;;;;;
160000000;27205;en;167.58371;2010-07-14;825532764;148.0;['English', '日本語', 'Français'];Your mind is the scene of the crime.;Inception;8.1;13752;27205;Inception;;;;;;;;
15000000;315011;ja;9.476999;2016-07-29;77000000;120.0;['Italiano', 'Deutsch', 'English', '日本語'];A god incarnate. A city doomed.;Shin Godzilla;6.5;143;315011;Shin Godzilla;;;;;;;;
250000000;49051;en;108.849621;2012-11-26;1021103568;169.0;['English'];From the smallest beginnings come the greatest legends.;The Hobbit: An Unexpected Journey;7.0;8297;49051;The Hobbit: An Unexpected Journey;;;;;;;;
38000000;9799;en;6.909942;2001-06-22;207283925;106.0;['English'];Live life 1/4 mile at a time.;The Fast and the Furious;6.6;3428;9799;The Fast and the Furious;;;;;;;;
150000000;4922;en;60.269279;2008-11-24;333932083;166.0;['English'];Life isn't measured in minutes, but in moments.;The Curious Case of Benjamin Button;7.3;3292;4922;The Curious Case of Benjamin Button;;;;;;;;
160000000;49538;en;3.195174;2011-05-24;353624124;132.0;['Deutsch', 'English', 'Español', 'Français', 'Pусский'];Witness the moment that will change our world.;X-Men: First Class;7.1;5181;49538;X-Men: First Class;;;;;;;;
160000000;131634;en;127.284427;2015-11-18;653428261;137.0;['English'];The fire will burn forever.;The Hunger Games: Mockingjay - Part 2;6.6;3984;131634;The Hunger Games: Mockingjay - Part 2;;;;;;;;
150000000;27022;en;35.580815;2010-07-13;215283742;109.0;['English'];It's The Coolest Job Ever.;The Sorcerer's Apprentice;5.8;1470;27022;The Sorcerer's Apprentice;;;;;;;;
160000000;503;en;21.133748;2006-05-12;181674817;99.0;['English', 'Español'];Mayday;Poseidon;5.5;583;503;Poseidon;;;;;;;;
170000000;241259;en;56.268916;2016-05-25;299370084;113.0;['English'];It's time for a little madness.;Alice Through the Looking Glass;6.5;1725;241259;Alice Through the Looking Glass;;;;;;;;
160000000;810;en;;;;;;;;;;;;;;;;;;;
160000000;68735;en;63.148529;2016-05-25;433677183;123.0;['English'];Two worlds. One home.;Warcraft;6.3;2268;68735;Warcraft;;;;;;;;
155000000;87101;en;;;;;;;;;;;;;;;;;;;
155000000;10140;en;49.661984;2010-08-13;415686217;113.0;['English'];Return to magic. Return to hope. Return to Narnia.;The Chronicles of Narnia: The Voyage of the Dawn Treader;6.2;1514;10140;The Chronicles of Narnia: The Voyage of the Dawn Treader;;;;;;;;
140000000;676;en;34.20669;2001-05-21;449220945;183.0;['Français', 'English', '日本語'];It takes a moment to change history. It takes love to change lives.;Pearl Harbor;6.6;1791;676;Pearl Harbor;;;;;;;;
150000000;1858;en;25.468493;2007-06-27;709709780;144.0;['Español', 'English'];Their war. Our world.;Transformers;6.6;4040;1858;Transformers;;;;;;;;
155000000;1966;en;39.019229;2004-11-21;167298192;175.0;['English'];The greatest legend of all was real.;Alexander;5.6;927;1966;Alexander;;;;;;;;
150000000;675;en;78.144395;2007-06-28;938212738;138.0;['English'];Evil Must Be Confronted.;Harry Potter and the Order of the Phoenix;7.4;5494;675;Harry Potter and the Order of the Phoenix;;;;;;;;
150000000;674;en;101.250416;2005-11-05;895921036;157.0;['English', 'Français'];Dark And Difficult Times Lie Ahead.;Harry Potter and the Goblet of Fire;7.5;5608;674;Harry Potter and the Goblet of Fire;;;;;;;;
150000000;8960;en;56.758411;2008-07-01;624029371;92.0;['English', '日本語'];Bad Behavior. Bad Attitude. Real Hero.;Hancock;6.2;2961;8960;Hancock;;;;;;;;
150000000;6479;en;70.867401;2007-12-14;585349010;101.0;['English'];The last man on Earth is not alone;I Am Legend;6.9;4853;6479;I Am Legend;;;;;;;;
150000000;118;en;53.905592;2005-07-13;474968763;115.0;['English'];Willy Wonka is semi-sweet and nuts.;Charlie and the Chocolate Factory;6.7;3624;118;Charlie and the Chocolate Factory;;;;;;;;
150000000;2062;en;65.677399;2007-06-22;623722818;111.0;['English'];He's dying to become a chef.;Ratatouille;7.5;4369;2062;Ratatouille;;;;;;;;
150000000;272;en;115.040024;2005-06-10;374218673;140.0;['English', 'اردو', '普通话'];Evil fears the knight.;Batman Begins;7.5;7359;272;Batman Begins;;;;;;;;
150000000;10527;en;44.141021;2008-10-30;603900354;89.0;['English', 'Italiano', 'ภาษาไทย'];Still together. Still lost!;Madagascar: Escape 2 Africa;6.2;1810;10527;Madagascar: Escape 2 Africa;;;;;;;;
150000000;18360;en;81.781591;2009-05-20;413106170;105.0;['English'];When the lights go off the battle is on.;Night at the Museum: Battle of the Smithsonian;5.9;1971;18360;Night at the Museum: Battle of the Smithsonian;;;;;;;;
150000000;2080;en;5.954334;2009-04-28;373062864;107.0;['English'];Witness the Origin.;X-Men Origins: Wolverine;6.2;4021;2080;X-Men Origins: Wolverine;;;;;;;;
150000000;605;en;73.313918;2003-11-05;424988211;129.0;['English', 'Français'];Everything that has a beginning has an end.;The Matrix Revolutions;6.4;3096;605;The Matrix Revolutions;;;;;;;;
150000000;109445;en;165.125366;2013-11-27;1274219009;102.0;['English'];Only the act of true love will thaw a frozen heart.;Frozen;7.3;5295;109445;Frozen;;;;;;;;
150000000;604;en;70.78591;2003-05-15;738599701;138.0;['English'];Free your mind.;The Matrix Reloaded;6.7;3443;604;The Matrix Reloaded;;;;;;;;
170000000;76338;en;99.499595;2013-10-29;644571402;112.0;['English'];Delve into the darkness;Thor: The Dark World;6.8;4755;76338;Thor: The Dark World;;;;;;;;
150000000;76341;en;434.278564;2015-05-13;378858340;120.0;['English'];What a Lovely Day.;Mad Max: Fury Road;7.2;9427;76341;Mad Max: Fury Road;;;;;;;;
150000000;13448;en;67.447636;2009-05-13;356613439;138.0;['English', 'Italiano', 'Latin', 'Français', 'Deutsch', '普通话'];;Angels & Demons;6.5;2129;13448;Angels & Demons;;;;;;;;
150000000;10195;en;86.493424;2011-04-21;449326618;115.0;['English'];Two worlds. One hero.;Thor;6.6;6525;10195;Thor;;;;;;;;
150000000;13053;en;41.845878;2008-11-21;309979994;98.0;['English'];Fully Awesome. Ridonculous. Let It Begin.;Bolt;6.3;1750;13053;Bolt;;;;;;;;
150000000;19585;en;26.710398;2009-07-21;292817841;88.0;['English'];The world needs bigger heroes;G-Force;5.1;510;19585;G-Force;;;;;;;;
150000000;57165;en;44.927635;2012-03-27;301000000;99.0;['English'];Feel the Wrath;Wrath of the Titans;5.5;1431;57165;Wrath of the Titans;;;;;;;;
150000000;62213;en;50.306728;2012-05-08;245527149;113.0;['English'];Every Family Has Its Demons;Dark Shadows;5.7;2320;62213;Dark Shadows;;;;;;;;
150000000;177677;en;114.522237;2015-07-23;682330139;131.0;['Deutsch', 'English', 'svenska'];Desperate Times. Desperate Measures.;Mission: Impossible - Rogue Nation;7.1;3224;177677;Mission: Impossible - Rogue Nation;;;;;;;;
150000000;7978;en;21.214571;2010-02-11;0;102.0;['English'];When the moon is full the legend comes to life;The Wolfman;5.5;549;7978;The Wolfman;;;;;;;;
150000000;5559;en;29.332905;2007-10-28;287594577;91.0;['English'];Born to bee wild.;Bee Movie;5.7;1171;5559;Bee Movie;;;;;;;;
150000000;49444;en;;;;;;;;;;;;;;;;;;;
150000000;10196;en;33.769336;2010-06-30;318502923;103.0;['English'];Four nations, one destiny;The Last Airbender;4.7;1151;10196;The Last Airbender;;;;;;;;
150000000;956;en;63.079003;2006-05-03;397850012;126.0;['Deutsch', 'English', 'Italiano', '普通话', 'Český', '广州话 / 廣州話'];The Mission Begins 05:05:06.;Mission: Impossible III;6.5;2028;956;Mission: Impossible III;;;;;;;;
150000000;117251;en;39.004588;2013-06-27;205366737;131.0;['English'];It will start like any other day.;White House Down;6.4;1891;117251;White House Down;;;;;;;;
150000000;50321;en;12.362599;2011-03-09;38992758;88.0;['English'];Mom needs a little space.;Mars Needs Moms;5.5;199;50321;Mars Needs Moms;;;;;;;;
149000000;11619;en;22.550135;2006-10-22;64459316;85.0;['English'];Someone's Going Down;Flushed Away;6.0;874;11619;Flushed Away;;;;;;;;
150000000;266647;en;48.03528;2015-09-24;128388320;111.0;['English'];Every legend has a beginning.;Pan;5.9;954;266647;Pan;;;;;;;;
145000000;82703;en;38.73494;2014-02-07;272912430;92.0;['English'];He's Leaving His Mark On History;Mr. Peabody & Sherman;6.7;843;82703;Mr. Peabody & Sherman;;;;;;;;
175000000;652;en;66.803149;2004-05-13;497409852;163.0;['English'];For passion. For honor. For destiny. For victory. For love.;Troy;6.9;2759;652;Troy;;;;;;;;
145000000;80321;en;44.989192;2012-06-06;746921274;93.0;['English', 'Español', 'ภาษาไทย'];Six years ago, they disappeared without a trace. Next summer, they finally resurface.;Madagascar 3: Europe's Most Wanted;6.4;1808;80321;Madagascar 3: Europe's Most Wanted;;;;;;;;
140000000;36669;en;54.159392;2002-11-17;431971116;133.0;['English', '한국어/조선말', '广州话 / 廣州話', 'Deutsch', 'Español', 'Íslenska', 'Italiano'];He’s never been cooler.;Die Another Day;5.8;1092;36669;Die Another Day;;;;;;;;
144000000;43074;en;66.21806;2016-07-14;229147509;116.0;['English'];Who You Gonna Call?;Ghostbusters;5.3;2142;43074;Ghostbusters;;;;;;;;
140000000;95;en;58.485967;1998-07-01;553799566;151.0;['English', 'Pусский'];The Earth's Darkest Day Will Be Man's Finest Hour;Armageddon;6.4;2482;95;Armageddon;;;;;;;;
140000000;608;en;91.332849;2002-07-03;441818803;88.0;['English'];Same Planet. New Scum.;Men in Black II;6.0;3114;608;Men in Black II;;;;;;;;
70000000;2310;en;35.601665;2007-11-05;195735876;115.0;['English'];Evil breeds pain.;Beowulf;5.5;841;2310;Beowulf;;;;;;;;
145000000;140300;en;56.747978;2016-01-23;521170825;95.0;['English'];Grab destiny by the rice dumplings.;Kung Fu Panda 3;6.7;1603;140300;Kung Fu Panda 3;;;;;;;;
145000000;56292;en;77.77477;2011-12-07;694713380;133.0;['English', 'Pусский', 'Français', 'العربية', 'svenska'];No Plan. No Backup. No Choice.;Mission: Impossible - Ghost Protocol;6.8;3972;56292;Mission: Impossible - Ghost Protocol;;;;;;;;
145000000;81188;en;61.788035;2012-11-21;306941670;97.0;['Français', 'English'];You better believe.;Rise of the Guardians;7.1;1922;81188;Rise of the Guardians;;;;;;;;
100000000;7552;en;25.159168;2005-12-21;202026112;90.0;['English'];Giving big businesses a run for their money!;Fun with Dick and Jane;5.9;627;7552;Fun with Dick and Jane;;;;;;;;
140000000;616;en;52.341226;2003-12-05;456758981;154.0;['English', '日本語'];In the face of an enemy, in the heart of one man, lies the soul of a warrior.;The Last Samurai;7.3;1895;616;The Last Samurai;;;;;;;;
140000000;147441;en;101.599427;2014-12-03;268031828;150.0;['English'];Once brothers, now enemies.;Exodus: Gods and Kings;5.6;1921;147441;Exodus: Gods and Kings;;;;;;;;
150000000;13475;en;73.616808;2009-05-06;385680446;127.0;['English'];The future begins.;Star Trek;7.4;4518;13475;Star Trek;;;;;;;;
139000000;557;en;82.502566;2002-05-01;821708551;121.0;['English'];With great power comes great responsibility.;Spider-Man;6.8;5265;557;Spider-Man;;;;;;;;
