genres;id;;;;;;;;
Family;10193;;;;;;;;
Comedy;10193;;;;;;;;
Action;534;;;;;;;;
Science Fiction;534;;;;;;;;
Thriller;534;;;;;;;;
Action;168259;;;;;;;;
Action;72190;;;;;;;;
Drama;72190;;;;;;;;
Horror;72190;;;;;;;;
Science Fiction;72190;;;;;;;;
Thriller;72190;;;;;;;;
Action;127585;;;;;;;;
Adventure;127585;;;;;;;;
Fantasy;127585;;;;;;;;
Science Fiction;127585;;;;;;;;
Action;54138;;;;;;;;
Adventure;54138;;;;;;;;
Science Fiction;54138;;;;;;;;
Action;81005;;;;;;;;
Family;81005;;;;;;;;
Fantasy;81005;;;;;;;;
Drama;64682;;;;;;;;
Romance;64682;;;;;;;;
Adventure;9543;;;;;;;;
Fantasy;9543;;;;;;;;
Action;9543;;;;;;;;
Romance;9543;;;;;;;;
Action;68726;;;;;;;;
Science Fiction;68726;;;;;;;;
Adventure;68726;;;;;;;;
Action;38356;;;;;;;;
Science Fiction;38356;;;;;;;;
Adventure;38356;;;;;;;;
Adventure;217;;;;;;;;
Action;217;;;;;;;;
Adventure;105864;;;;;;;;
Animation;105864;;;;;;;;
Family;105864;;;;;;;;
Animation;62177;;;;;;;;
Adventure;62177;;;;;;;;
Comedy;62177;;;;;;;;
Family;62177;;;;;;;;
Action;62177;;;;;;;;
Fantasy;62177;;;;;;;;
Action;188927;;;;;;;;
Adventure;188927;;;;;;;;
Science Fiction;188927;;;;;;;;
Animation;10681;;;;;;;;
Family;10681;;;;;;;;
Action;5174;;;;;;;;
Comedy;5174;;;;;;;;
Crime;5174;;;;;;;;
Thriller;5174;;;;;;;;
Action;14161;;;;;;;;
Adventure;14161;;;;;;;;
Science Fiction;14161;;;;;;;;
Animation;17979;;;;;;;;
Drama;17979;;;;;;;;
Science Fiction;76757;;;;;;;;
Fantasy;76757;;;;;;;;
Action;76757;;;;;;;;
Adventure;76757;;;;;;;;
Action;258489;;;;;;;;
Adventure;258489;;;;;;;;
Adventure;411;;;;;;;;
Family;411;;;;;;;;
Fantasy;411;;;;;;;;
Science Fiction;246655;;;;;;;;
Drama;155;;;;;;;;
Action;155;;;;;;;;
Crime;155;;;;;;;;
Thriller;155;;;;;;;;
Animation;14160;;;;;;;;
Comedy;14160;;;;;;;;
Family;14160;;;;;;;;
Adventure;14160;;;;;;;;
Animation;15512;;;;;;;;
Family;15512;;;;;;;;
Adventure;15512;;;;;;;;
Science Fiction;15512;;;;;;;;
Action;1726;;;;;;;;
Science Fiction;1726;;;;;;;;
Adventure;1726;;;;;;;;
Adventure;44826;;;;;;;;
Drama;44826;;;;;;;;
Family;44826;;;;;;;;
Action;8487;;;;;;;;
Adventure;8487;;;;;;;;
Comedy;8487;;;;;;;;
Science Fiction;8487;;;;;;;;
Western;8487;;;;;;;;
Adventure;1735;;;;;;;;
Action;1735;;;;;;;;
Fantasy;1735;;;;;;;;
Action;297761;;;;;;;;
Adventure;297761;;;;;;;;
Crime;297761;;;;;;;;
Fantasy;297761;;;;;;;;
Science Fiction;297761;;;;;;;;
Fantasy;2698;;;;;;;;
Comedy;2698;;;;;;;;
Family;2698;;;;;;;;
Action;137113;;;;;;;;
Science Fiction;137113;;;;;;;;
Adventure;9804;;;;;;;;
Action;9804;;;;;;;;
Adventure;14869;;;;;;;;
Action;14869;;;;;;;;
Thriller;14869;;;;;;;;
Science Fiction;14869;;;;;;;;
Drama;150540;;;;;;;;
Comedy;150540;;;;;;;;
Animation;150540;;;;;;;;
Family;150540;;;;;;;;
Family;278927;;;;;;;;
Adventure;278927;;;;;;;;
Drama;278927;;;;;;;;
Fantasy;278927;;;;;;;;
Adventure;10138;;;;;;;;
Action;10138;;;;;;;;
Science Fiction;10138;;;;;;;;
Adventure;58595;;;;;;;;
Fantasy;58595;;;;;;;;
Drama;58595;;;;;;;;
Fantasy;102651;;;;;;;;
Adventure;102651;;;;;;;;
Action;102651;;;;;;;;
Family;102651;;;;;;;;
Romance;102651;;;;;;;;
Science Fiction;119450;;;;;;;;
Action;119450;;;;;;;;
Drama;119450;;;;;;;;
Thriller;119450;;;;;;;;
Action;79698;;;;;;;;
Adventure;79698;;;;;;;;
Science Fiction;79698;;;;;;;;
Romance;79698;;;;;;;;
Drama;64686;;;;;;;;
Action;64686;;;;;;;;
Adventure;64686;;;;;;;;
Fantasy;64686;;;;;;;;
Action;100402;;;;;;;;
Adventure;100402;;;;;;;;
Science Fiction;100402;;;;;;;;
Comedy;10192;;;;;;;;
Adventure;10192;;;;;;;;
Fantasy;10192;;;;;;;;
Animation;10192;;;;;;;;
Family;10192;;;;;;;;
Adventure;158852;;;;;;;;
Family;158852;;;;;;;;
Mystery;158852;;;;;;;;
Science Fiction;158852;;;;;;;;
Adventure;177572;;;;;;;;
Family;177572;;;;;;;;
Animation;177572;;;;;;;;
Action;177572;;;;;;;;
Comedy;177572;;;;;;;;
Family;82690;;;;;;;;
Animation;82690;;;;;;;;
Comedy;82690;;;;;;;;
Adventure;82690;;;;;;;;
Adventure;5255;;;;;;;;
Animation;5255;;;;;;;;
Family;5255;;;;;;;;
Fantasy;5255;;;;;;;;
Action;47933;;;;;;;;
Adventure;47933;;;;;;;;
Science Fiction;47933;;;;;;;;
Fantasy;10191;;;;;;;;
Adventure;10191;;;;;;;;
Animation;10191;;;;;;;;
Family;10191;;;;;;;;
Action;296;;;;;;;;
Thriller;296;;;;;;;;
Science Fiction;296;;;;;;;;
Action;118340;;;;;;;;
Science Fiction;118340;;;;;;;;
Adventure;118340;;;;;;;;
Adventure;157336;;;;;;;;
Drama;157336;;;;;;;;
Science Fiction;157336;;;;;;;;
Action;27205;;;;;;;;
Thriller;27205;;;;;;;;
Science Fiction;27205;;;;;;;;
Mystery;27205;;;;;;;;
Adventure;27205;;;;;;;;
Action;315011;;;;;;;;
Adventure;315011;;;;;;;;
Drama;315011;;;;;;;;
Horror;315011;;;;;;;;
Science Fiction;315011;;;;;;;;
Adventure;49051;;;;;;;;
Fantasy;49051;;;;;;;;
Action;49051;;;;;;;;
Action;9799;;;;;;;;
Crime;9799;;;;;;;;
Thriller;9799;;;;;;;;
Fantasy;4922;;;;;;;;
Drama;4922;;;;;;;;
Thriller;4922;;;;;;;;
Mystery;4922;;;;;;;;
Romance;4922;;;;;;;;
Action;49538;;;;;;;;
Science Fiction;49538;;;;;;;;
Adventure;49538;;;;;;;;
Action;131634;;;;;;;;
Adventure;131634;;;;;;;;
Science Fiction;131634;;;;;;;;
Fantasy;27022;;;;;;;;
Adventure;27022;;;;;;;;
Action;27022;;;;;;;;
Comedy;27022;;;;;;;;
Drama;27022;;;;;;;;
Adventure;503;;;;;;;;
Action;503;;;;;;;;
Drama;503;;;;;;;;
Thriller;503;;;;;;;;
Fantasy;241259;;;;;;;;
Fantasy;810;;;;;;;;
Adventure;810;;;;;;;;
Animation;810;;;;;;;;
Comedy;810;;;;;;;;
Family;810;;;;;;;;
Action;68735;;;;;;;;
Adventure;68735;;;;;;;;
Fantasy;68735;;;;;;;;
Science Fiction;87101;;;;;;;;
Action;87101;;;;;;;;
Thriller;87101;;;;;;;;
Adventure;87101;;;;;;;;
Adventure;10140;;;;;;;;
Family;10140;;;;;;;;
Fantasy;10140;;;;;;;;
History;676;;;;;;;;
Romance;676;;;;;;;;
War;676;;;;;;;;
Adventure;1858;;;;;;;;
Science Fiction;1858;;;;;;;;
Action;1858;;;;;;;;
War;1966;;;;;;;;
History;1966;;;;;;;;
Action;1966;;;;;;;;
Adventure;1966;;;;;;;;
Drama;1966;;;;;;;;
Romance;1966;;;;;;;;
Adventure;675;;;;;;;;
Fantasy;675;;;;;;;;
Family;675;;;;;;;;
Mystery;675;;;;;;;;
Adventure;674;;;;;;;;
Fantasy;674;;;;;;;;
Family;674;;;;;;;;
Fantasy;8960;;;;;;;;
Action;8960;;;;;;;;
Drama;6479;;;;;;;;
Horror;6479;;;;;;;;
Action;6479;;;;;;;;
Thriller;6479;;;;;;;;
Science Fiction;6479;;;;;;;;
Adventure;118;;;;;;;;
Comedy;118;;;;;;;;
Family;118;;;;;;;;
Fantasy;118;;;;;;;;
Animation;2062;;;;;;;;
Comedy;2062;;;;;;;;
Family;2062;;;;;;;;
Fantasy;2062;;;;;;;;
Action;272;;;;;;;;
Crime;272;;;;;;;;
Drama;272;;;;;;;;
Family;10527;;;;;;;;
Animation;10527;;;;;;;;
Adventure;18360;;;;;;;;
Fantasy;18360;;;;;;;;
Action;18360;;;;;;;;
Comedy;18360;;;;;;;;
Family;18360;;;;;;;;
Adventure;2080;;;;;;;;
Action;2080;;;;;;;;
Thriller;2080;;;;;;;;
Science Fiction;2080;;;;;;;;
Adventure;605;;;;;;;;
Action;605;;;;;;;;
Thriller;605;;;;;;;;
Science Fiction;605;;;;;;;;
Animation;109445;;;;;;;;
Adventure;109445;;;;;;;;
Family;109445;;;;;;;;
Adventure;604;;;;;;;;
Action;604;;;;;;;;
Thriller;604;;;;;;;;
Science Fiction;604;;;;;;;;
Action;76338;;;;;;;;
Adventure;76338;;;;;;;;
Fantasy;76338;;;;;;;;
Action;76341;;;;;;;;
Adventure;76341;;;;;;;;
Science Fiction;76341;;;;;;;;
Thriller;76341;;;;;;;;
Thriller;13448;;;;;;;;
Mystery;13448;;;;;;;;
Adventure;10195;;;;;;;;
Fantasy;10195;;;;;;;;
Action;10195;;;;;;;;
Animation;13053;;;;;;;;
Family;13053;;;;;;;;
Adventure;13053;;;;;;;;
Comedy;13053;;;;;;;;
Fantasy;19585;;;;;;;;
Action;19585;;;;;;;;
Adventure;19585;;;;;;;;
Family;19585;;;;;;;;
Comedy;19585;;;;;;;;
Adventure;57165;;;;;;;;
Comedy;62213;;;;;;;;
Fantasy;62213;;;;;;;;
Action;177677;;;;;;;;
Adventure;177677;;;;;;;;
Thriller;177677;;;;;;;;
Drama;7978;;;;;;;;
Horror;7978;;;;;;;;
Thriller;7978;;;;;;;;
Family;5559;;;;;;;;
Animation;5559;;;;;;;;
Adventure;5559;;;;;;;;
Comedy;5559;;;;;;;;
Animation;49444;;;;;;;;
Family;49444;;;;;;;;
Action;10196;;;;;;;;
Adventure;10196;;;;;;;;
Family;10196;;;;;;;;
Fantasy;10196;;;;;;;;
Adventure;956;;;;;;;;
Action;956;;;;;;;;
Thriller;956;;;;;;;;
Action;117251;;;;;;;;
Drama;117251;;;;;;;;
Thriller;117251;;;;;;;;
Adventure;50321;;;;;;;;
Animation;50321;;;;;;;;
Family;50321;;;;;;;;
Adventure;11619;;;;;;;;
Animation;11619;;;;;;;;
Comedy;11619;;;;;;;;
Family;11619;;;;;;;;
Adventure;266647;;;;;;;;
Family;266647;;;;;;;;
Fantasy;266647;;;;;;;;
Animation;82703;;;;;;;;
Adventure;82703;;;;;;;;
Family;82703;;;;;;;;
Adventure;652;;;;;;;;
Drama;652;;;;;;;;
War;652;;;;;;;;
Animation;80321;;;;;;;;
Family;80321;;;;;;;;
Adventure;36669;;;;;;;;
Action;36669;;;;;;;;
Thriller;36669;;;;;;;;
Action;43074;;;;;;;;
Fantasy;43074;;;;;;;;
Comedy;43074;;;;;;;;
Action;95;;;;;;;;
Thriller;95;;;;;;;;
Science Fiction;95;;;;;;;;
Adventure;95;;;;;;;;
Action;608;;;;;;;;
Adventure;608;;;;;;;;
Comedy;608;;;;;;;;
Science Fiction;608;;;;;;;;
Adventure;2310;;;;;;;;
Action;2310;;;;;;;;
Animation;2310;;;;;;;;
Action;140300;;;;;;;;
Adventure;140300;;;;;;;;
Animation;140300;;;;;;;;
Comedy;140300;;;;;;;;
Family;140300;;;;;;;;
Action;56292;;;;;;;;
Thriller;56292;;;;;;;;
Adventure;56292;;;;;;;;
Fantasy;81188;;;;;;;;
Animation;81188;;;;;;;;
Family;81188;;;;;;;;
Comedy;7552;;;;;;;;
Drama;616;;;;;;;;
Action;616;;;;;;;;
War;616;;;;;;;;
History;616;;;;;;;;
Adventure;147441;;;;;;;;
Drama;147441;;;;;;;;
Action;147441;;;;;;;;
Science Fiction;13475;;;;;;;;
Action;13475;;;;;;;;
Adventure;13475;;;;;;;;
Fantasy;557;;;;;;;;
Action;557;;;;;;;;
Fantasy;82702;;;;;;;;
Action;82702;;;;;;;;
Adventure;82702;;;;;;;;
Animation;82702;;;;;;;;
Comedy;82702;;;;;;;;
Family;82702;;;;;;;;
Fantasy;205584;;;;;;;;
Action;10048;;;;;;;;
Action;13183;;;;;;;;
Mystery;13183;;;;;;;;
Science Fiction;13183;;;;;;;;
Action;944;;;;;;;;
Adventure;944;;;;;;;;
Comedy;944;;;;;;;;
Crime;944;;;;;;;;
Thriller;944;;;;;;;;
Drama;1927;;;;;;;;
Action;1927;;;;;;;;
Science Fiction;1927;;;;;;;;
Adventure;72559;;;;;;;;
Action;72559;;;;;;;;
Science Fiction;72559;;;;;;;;
Thriller;72559;;;;;;;;
Action;7364;;;;;;;;
Adventure;7364;;;;;;;;
Comedy;7364;;;;;;;;
Drama;7364;;;;;;;;
Mystery;7364;;;;;;;;
Adventure;2114;;;;;;;;
Action;2114;;;;;;;;
Animation;2114;;;;;;;;
Fantasy;2114;;;;;;;;
Science Fiction;2114;;;;;;;;
Thriller;2114;;;;;;;;
Action;1771;;;;;;;;
Adventure;1771;;;;;;;;
Science Fiction;1771;;;;;;;;
Adventure;36643;;;;;;;;
Action;36643;;;;;;;;
Thriller;36643;;;;;;;;
Adventure;8619;;;;;;;;
Adventure;50620;;;;;;;;
Fantasy;50620;;;;;;;;
Drama;50620;;;;;;;;
Romance;50620;;;;;;;;
Animation;65759;;;;;;;;
Comedy;65759;;;;;;;;
Family;65759;;;;;;;;
Science Fiction;1724;;;;;;;;
Action;1724;;;;;;;;
Adventure;1724;;;;;;;;
Adventure;267935;;;;;;;;
Family;267935;;;;;;;;
Fantasy;267935;;;;;;;;
Western;281957;;;;;;;;
Drama;281957;;;;;;;;
Adventure;281957;;;;;;;;
Thriller;281957;;;;;;;;
Animation;77950;;;;;;;;
Family;77950;;;;;;;;
Animation;44896;;;;;;;;
Comedy;44896;;;;;;;;
Family;44896;;;;;;;;
Western;44896;;;;;;;;
Adventure;44896;;;;;;;;
Family;270946;;;;;;;;
Animation;270946;;;;;;;;
Adventure;270946;;;;;;;;
Comedy;270946;;;;;;;;
Action;2503;;;;;;;;
Drama;2503;;;;;;;;
Mystery;2503;;;;;;;;
Thriller;2503;;;;;;;;
Adventure;9502;;;;;;;;
Animation;9502;;;;;;;;
Family;9502;;;;;;;;
Comedy;9502;;;;;;;;
Science Fiction;102899;;;;;;;;
Action;102899;;;;;;;;
Adventure;102899;;;;;;;;
Adventure;101299;;;;;;;;
Action;101299;;;;;;;;
Science Fiction;101299;;;;;;;;
Fantasy;228161;;;;;;;;
Comedy;228161;;;;;;;;
Animation;228161;;;;;;;;
Science Fiction;228161;;;;;;;;
Family;228161;;;;;;;;
Adventure;74;;;;;;;;
Thriller;74;;;;;;;;
Science Fiction;74;;;;;;;;
Adventure;8961;;;;;;;;
Action;8961;;;;;;;;
Comedy;8961;;;;;;;;
Thriller;8961;;;;;;;;
Crime;8961;;;;;;;;
Action;417859;;;;;;;;
Adventure;417859;;;;;;;;
Animation;417859;;;;;;;;
Family;417859;;;;;;;;
Fantasy;417859;;;;;;;;
Action;27576;;;;;;;;
Mystery;27576;;;;;;;;
Thriller;27576;;;;;;;;
Drama;86834;;;;;;;;
Adventure;86834;;;;;;;;
Adventure;17578;;;;;;;;
Animation;17578;;;;;;;;
Mystery;17578;;;;;;;;
Adventure;673;;;;;;;;
Fantasy;673;;;;;;;;
Family;673;;;;;;;;
Drama;6972;;;;;;;;
Science Fiction;82700;;;;;;;;
Action;82700;;;;;;;;
Adventure;82700;;;;;;;;
Animation;10567;;;;;;;;
Family;10567;;;;;;;;
Adventure;181533;;;;;;;;
Comedy;181533;;;;;;;;
Fantasy;181533;;;;;;;;
Family;181533;;;;;;;;
Animation;38055;;;;;;;;
Action;38055;;;;;;;;
Comedy;38055;;;;;;;;
Family;38055;;;;;;;;
Science Fiction;38055;;;;;;;;
Adventure;671;;;;;;;;
Fantasy;671;;;;;;;;
Family;671;;;;;;;;
Fantasy;49524;;;;;;;;
Action;49524;;;;;;;;
Comedy;49524;;;;;;;;
Crime;49524;;;;;;;;
Adventure;22;;;;;;;;
Fantasy;22;;;;;;;;
Action;22;;;;;;;;
Science Fiction;131631;;;;;;;;
Adventure;131631;;;;;;;;
Thriller;131631;;;;;;;;
Thriller;591;;;;;;;;
Mystery;591;;;;;;;;
Animation;172385;;;;;;;;
Adventure;172385;;;;;;;;
Comedy;172385;;;;;;;;
Family;172385;;;;;;;;
Adventure;36658;;;;;;;;
Action;36658;;;;;;;;
Science Fiction;36658;;;;;;;;
Thriller;36658;;;;;;;;
Action;51497;;;;;;;;
Thriller;51497;;;;;;;;
Crime;51497;;;;;;;;
Adventure;58574;;;;;;;;
Action;58574;;;;;;;;
Crime;58574;;;;;;;;
Mystery;58574;;;;;;;;
Adventure;18823;;;;;;;;
Fantasy;18823;;;;;;;;
Action;18823;;;;;;;;
Action;861;;;;;;;;
Adventure;861;;;;;;;;
Science Fiction;861;;;;;;;;
Adventure;1911;;;;;;;;
Fantasy;1911;;;;;;;;
Action;1911;;;;;;;;
Action;49040;;;;;;;;
Thriller;49040;;;;;;;;
Action;415;;;;;;;;
Crime;415;;;;;;;;
Fantasy;415;;;;;;;;
Family;8871;;;;;;;;
Comedy;8871;;;;;;;;
Fantasy;8871;;;;;;;;
Action;435;;;;;;;;
Adventure;435;;;;;;;;
Science Fiction;435;;;;;;;;
Thriller;435;;;;;;;;
Adventure;955;;;;;;;;
Action;955;;;;;;;;
Thriller;955;;;;;;;;
Drama;2133;;;;;;;;
Adventure;1979;;;;;;;;
Fantasy;1979;;;;;;;;
Action;1979;;;;;;;;
Thriller;1979;;;;;;;;
Adventure;87827;;;;;;;;
Drama;87827;;;;;;;;
Action;87827;;;;;;;;
Thriller;1250;;;;;;;;
Action;1250;;;;;;;;
Fantasy;1250;;;;;;;;
Horror;1250;;;;;;;;
Action;324668;;;;;;;;
Thriller;324668;;;;;;;;
Action;9471;;;;;;;;
Adventure;9471;;;;;;;;
Comedy;9471;;;;;;;;
Science Fiction;70981;;;;;;;;
Adventure;70981;;;;;;;;
Mystery;70981;;;;;;;;
Family;10996;;;;;;;;
Adventure;10996;;;;;;;;
Animation;10996;;;;;;;;
Comedy;10996;;;;;;;;
Science Fiction;68724;;;;;;;;
Action;68724;;;;;;;;
Drama;68724;;;;;;;;
Thriller;68724;;;;;;;;
Action;2789;;;;;;;;
Science Fiction;2789;;;;;;;;
Action;97020;;;;;;;;
Science Fiction;97020;;;;;;;;
Action;7459;;;;;;;;
Family;7459;;;;;;;;
Science Fiction;7459;;;;;;;;
Comedy;42888;;;;;;;;
Drama;42888;;;;;;;;
Romance;42888;;;;;;;;
Action;37834;;;;;;;;
Comedy;37834;;;;;;;;
Action;75612;;;;;;;;
Science Fiction;75612;;;;;;;;
Adventure;75612;;;;;;;;
Mystery;75612;;;;;;;;
Science Fiction;1895;;;;;;;;
Adventure;1895;;;;;;;;
Action;1895;;;;;;;;
Adventure;1894;;;;;;;;
Action;1894;;;;;;;;
Science Fiction;1894;;;;;;;;
Animation;585;;;;;;;;
Comedy;585;;;;;;;;
Family;585;;;;;;;;
Action;76170;;;;;;;;
Science Fiction;76170;;;;;;;;
Adventure;76170;;;;;;;;
Fantasy;76170;;;;;;;;
Adventure;1893;;;;;;;;
Action;1893;;;;;;;;
Science Fiction;1893;;;;;;;;
Adventure;49519;;;;;;;;
Animation;49519;;;;;;;;
Comedy;49519;;;;;;;;
Family;49519;;;;;;;;
Fantasy;49519;;;;;;;;
Fantasy;2395;;;;;;;;
Adventure;2395;;;;;;;;
Comedy;2395;;;;;;;;
Family;2395;;;;;;;;
Drama;12100;;;;;;;;
Action;12100;;;;;;;;
History;12100;;;;;;;;
War;12100;;;;;;;;
Action;290595;;;;;;;;
Adventure;290595;;;;;;;;
Drama;290595;;;;;;;;
Science Fiction;98566;;;;;;;;
Action;98566;;;;;;;;
Adventure;98566;;;;;;;;
Fantasy;98566;;;;;;;;
Comedy;98566;;;;;;;;
Science Fiction;49047;;;;;;;;
Thriller;49047;;;;;;;;
Drama;49047;;;;;;;;
Action;9619;;;;;;;;
Adventure;9619;;;;;;;;
Thriller;9619;;;;;;;;
Fantasy;308531;;;;;;;;
Action;308531;;;;;;;;
Adventure;308531;;;;;;;;
Comedy;308531;;;;;;;;
Action;166424;;;;;;;;
Adventure;166424;;;;;;;;
Science Fiction;166424;;;;;;;;
Action;1593;;;;;;;;
Adventure;1593;;;;;;;;
Comedy;1593;;;;;;;;
Family;1593;;;;;;;;
Fantasy;1593;;;;;;;;
Action;254128;;;;;;;;
Drama;254128;;;;;;;;
Thriller;254128;;;;;;;;
Adventure;714;;;;;;;;
Action;714;;;;;;;;
Thriller;714;;;;;;;;
Drama;2024;;;;;;;;
History;2024;;;;;;;;
War;2024;;;;;;;;
Action;2024;;;;;;;;
Thriller;163;;;;;;;;
Crime;163;;;;;;;;
Action;787;;;;;;;;
Comedy;787;;;;;;;;
Drama;787;;;;;;;;
Thriller;787;;;;;;;;
Adventure;262500;;;;;;;;
Science Fiction;262500;;;;;;;;
Thriller;262500;;;;;;;;
Drama;2567;;;;;;;;
Comedy;38745;;;;;;;;
Action;40805;;;;;;;;
Crime;40805;;;;;;;;
Comedy;40805;;;;;;;;
Action;53182;;;;;;;;
War;53182;;;;;;;;
Animation;41513;;;;;;;;
Family;41513;;;;;;;;
Adventure;41513;;;;;;;;
Comedy;41513;;;;;;;;
Fantasy;41513;;;;;;;;
Animation;13700;;;;;;;;
Family;13700;;;;;;;;
Adventure;262504;;;;;;;;
Science Fiction;262504;;;;;;;;
Action;39254;;;;;;;;
Science Fiction;39254;;;;;;;;
Drama;39254;;;;;;;;
Fantasy;77931;;;;;;;;
Family;77931;;;;;;;;
Comedy;77931;;;;;;;;
Animation;77931;;;;;;;;
Action;1639;;;;;;;;
Adventure;1639;;;;;;;;
Thriller;1639;;;;;;;;
Science Fiction;80274;;;;;;;;
Action;80274;;;;;;;;
Adventure;80274;;;;;;;;
Action;1571;;;;;;;;
Thriller;1571;;;;;;;;
Adventure;120;;;;;;;;
Fantasy;120;;;;;;;;
Action;120;;;;;;;;
Action;10204;;;;;;;;
Adventure;10204;;;;;;;;
Comedy;10204;;;;;;;;
Drama;8489;;;;;;;;
Comedy;10588;;;;;;;;
Fantasy;10588;;;;;;;;
Family;10588;;;;;;;;
Action;2048;;;;;;;;
Science Fiction;2048;;;;;;;;
Drama;1495;;;;;;;;
Action;1495;;;;;;;;
Adventure;1495;;;;;;;;
History;1495;;;;;;;;
War;1495;;;;;;;;
Animation;10137;;;;;;;;
Fantasy;10137;;;;;;;;
Family;10137;;;;;;;;
Comedy;10137;;;;;;;;
Romance;10198;;;;;;;;
Family;10198;;;;;;;;
Animation;10198;;;;;;;;
Music;10198;;;;;;;;
Drama;286217;;;;;;;;
Adventure;286217;;;;;;;;
Science Fiction;286217;;;;;;;;
Action;1635;;;;;;;;
Thriller;1635;;;;;;;;
Science Fiction;1635;;;;;;;;
Adventure;1635;;;;;;;;
Comedy;24113;;;;;;;;
Romance;24113;;;;;;;;
Action;9679;;;;;;;;
Crime;9679;;;;;;;;
Thriller;9679;;;;;;;;
Action;98;;;;;;;;
Drama;98;;;;;;;;
Adventure;98;;;;;;;;
Action;180;;;;;;;;
Thriller;180;;;;;;;;
Science Fiction;180;;;;;;;;
Mystery;180;;;;;;;;
Adventure;672;;;;;;;;
Fantasy;672;;;;;;;;
Family;672;;;;;;;;
Adventure;36557;;;;;;;;
